NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
11205,"CUCUMBER,WITH PEEL,RAW",95.23,15,0.65,0.11,0.38,3.63,0.5,1.67,16,0.28,13,24,147,2,0.2,0.041,0.079,0.3,2.8,0.027,0.033,0.098,0.259,0.04,7,0,7,7,6,0,105,5,0,11,45,26,0,23,0.03,0,0,16.4,0.037,0.005,0.032,0,3,52,".5 cup, slices"
02014,CUMIN SEED,8.06,375,17.81,22.27,7.62,44.24,10.5,2.25,931,66.36,366,499,1788,168,4.8,0.867,3.333,5.2,7.7,0.628,0.327,4.579,,0.435,10,0,10,10,24.7,0,1270,64,0,0,762,0,0,448,3.33,0,0,5.4,1.535,14.04,3.279,0,0,2,"1 tsp, whole"
02045,"DILL WEED,FRSH",85.95,43,3.46,1.12,2.45,7.02,2.1,,208,6.59,55,66,738,61,0.91,0.146,1.264,,85,0.058,0.296,1.57,0.397,0.185,150,0,150,150,,0,7718,386,0,,,,,,,0,0,,0.06,0.802,0.095,0,41,1,5 sprigs
01128,"EGG,WHL,CKD,FRIED",69.47,196,13.61,14.84,1.26,0.83,0,0.4,62,1.89,13,215,152,207,1.39,0.078,0.03,33.1,0,0.044,0.495,0.082,1.66,0.184,51,0,51,51,317.1,0.97,787,219,216,0,35,10,0,543,1.31,2.2,88,5.6,4.323,6.182,3.251,401,0,46,1 large
01131,"EGG,WHL,CKD,POACHED",75.85,143,12.51,9.47,1.46,0.71,0,0.37,56,1.75,12,197,138,297,1.29,0.072,0.028,30.6,0,0.032,0.387,0.063,1.527,0.144,35,0,35,35,234.1,0.71,538,160,159,0,0,9,0,501,1.04,2,82,0.3,3.113,3.643,1.904,370,0,50,1 large
01132,"EGG,WHL,CKD,SCRMBLD",76.4,149,9.99,10.98,1.01,1.61,0,1.39,66,1.31,11,165,132,145,1.04,0.059,0.022,23.5,0,0.04,0.376,0.076,1.217,0.134,36,0,36,36,221,0.76,578,161,159,0,26,7,0,372,1.15,1.8,72,4,3.331,4.441,2.429,277,0,61,1 large
11210,"EGGPLANT,CKD,BLD,DRND,WO/SALT",89.67,35,0.83,0.23,0.54,8.73,2.5,3.2,6,0.25,11,15,123,1,0.12,0.059,0.113,0.1,1.3,0.076,0.02,0.6,0.075,0.086,14,0,14,14,9.4,0,37,2,0,0,22,0,0,0,0.41,0,0,2.9,0.044,0.02,0.093,0,0,99,"1 cup,  (1"" cubes)"
11209,"EGGPLANT,RAW",92.3,25,0.98,0.18,0.66,5.88,3,3.53,9,0.23,14,24,229,2,0.16,0.081,0.232,0.3,2.2,0.039,0.037,0.649,0.281,0.084,22,0,22,22,6.9,0,23,1,0,0,14,0,0,36,0.3,0,0,3.5,0.034,0.016,0.076,0,19,82,"1 cup, cubes"
02018,FENNEL SEED,8.81,345,15.8,14.87,8.22,52.29,39.8,,1196,18.54,385,487,1694,88,3.7,1.067,6.533,,21,0.408,0.353,6.05,,0.47,,,,,,0,135,7,0,,,,,,,0,0,,0.48,9.91,1.69,0,0,2,"1 tsp, whole"
11957,"FENNEL,BULB,RAW",90.21,31,1.24,0.2,1.05,7.3,3.1,3.93,49,0.73,17,50,414,52,0.2,0.066,0.191,0.7,12,0.01,0.032,0.64,0.232,0.047,27,0,27,27,13.2,0,963,48,0,0,578,0,0,607,0.58,0,0,62.8,0.09,0.068,0.169,0,28,87,"1 cup, sliced"
